"mentor","mentee","score","distance"
"na018","na023",0.211,3.74165738677394
"na018","na024",0.211,3.74165738677394
"na018","na030",0.211,3.74165738677394
"na018","na011",0.208,3.80788655293195
"na018","na013",0.2,4
"na018","na014",0.2,4
"na018","na016",0.2,4
"na018","na020",0.2,4
"na018","na021",0.2,4
"na018","na022",0.2,4
"na018","na027",0.2,4
"na019","na011",0.237,3.21825152173395
"na019","na012",0.224,3.46410161513775
"na019","na014",0.224,3.46410161513775
"na019","na016",0.224,3.46410161513775
"na019","na022",0.224,3.46410161513775
"na019","na007",0.211,3.74165738677394
"na019","na009",0.211,3.74165738677394
"na019","na013",0.211,3.74165738677394
"na019","na018",0.211,3.74165738677394
"na019","na021",0.211,3.74165738677394
"na019","na024",0.211,3.74165738677394
"na019","na003",0.2,4
"na019","na004",0.2,4
"na019","na005",0.2,4
"na019","na006",0.2,4
"na019","na010",0.2,4
"na019","na017",0.2,4
"na019","na019",0.2,4
"na019","na020",0.2,4
"na019","na023",0.2,4
"na019","na027",0.2,4
"na019","na028",0.2,4
"na019","na030",0.2,4
